2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35498 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35498@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35502 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35502@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35506 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35506@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35510 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35510@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35516 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35516@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35522 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35522@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35526 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35526@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35530 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35530@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35550 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35550@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35556 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35556@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35560 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35560@61616
2018-09-10 14:12:58,289 | WARN  | Transport Connection to: tcp://127.0.0.1:35564 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35564@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35570 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35570@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35572 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35572@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35578 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35578@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35584 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35584@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35588 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35588@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35592 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35592@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35608 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35608@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35610 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35610@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35614 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35614@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35618 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35618@61616
2018-09-10 14:12:58,288 | WARN  | Transport Connection to: tcp://127.0.0.1:35634 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35634@61616
