Name,Status,Protocol,Vendor,Device Type,Supported products,Installed version,Available version,Nodes in use,Fault license,Performance license,Last modified
"cisco-3640","Available","Snmp","Cisco Systems, Inc","Router","Cisco 3600 Series Multifunction Platform","","6.0.10","0","","",""
"cisco-3650","Available","Snmp","Cisco Systems, Inc","Switch","Cisco Catalyst 3650 Switch","","6.0.10","0","","",""
"cisco-3725","Available","Snmp","Cisco Systems, Inc","Router","Cisco 3725 MultiService Access Router","","6.0.10","0","","",""
"cisco-3745","Available","Snmp","Cisco Systems, Inc","Router","Cisco 3745","","6.0.10","0","","",""
"cisco-3750","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 3750 Switch","","6.0.10","0","","",""
"cisco-3825","Available","Snmp","Cisco Systems, Inc","Router","Cisco 3825 Integrated Service Router","","6.0.10","0","","",""
"cisco-3845","Available","Snmp","Cisco Systems, Inc","Router","Cisco 3845 Integrated Service Router","","6.0.10","0","","",""
"cisco-3850","Available","Snmp","Cisco","Switch","Cisco","","6.0.10","0","","",""
"cisco-3925","Available","Snmp","Cisco Systems, Inc","Router","Cisco 3925 Integrated Services Router","","6.0.10","0","","",""
"cisco-4006","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 4006 Switch","","6.0.10","0","","",""
"cisco-4500","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 4500 Switch","","6.0.10","0","","",""
"cisco-4507","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 4507","","6.0.10","0","","",""
"cisco-4510","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 4510","","6.0.10","0","","",""
"cisco-4700","Available","Snmp","Cisco Systems, Inc","Router","Cisco 4700 Router","","6.0.10","0","","",""
"cisco-4900m","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 4900m Switch","","6.0.10","0","","",""
"cisco-4924","Available","Snmp","Cisco networks,Inc","Switch","ME4924-10GE","","6.0.10","0","","",""
"cisco-4948","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 4948 Switch","","6.0.10","0","","",""
"cisco-4948e","Available","Snmp","Cisco Systems, Inc","Switch","Cisco 4948e Switch","","6.0.10","0","","",""
"cisco-5508","Available","Snmp","Cisco Systems, Inc","Unknown","cisco 5508 wireless controller","","6.0.10","0","","",""
